Plant ID,FRUIT DIAMETER,FRUIT LENGTH,FRUIT WEIGHT,PUNCTURE TEST,SEED CAVITY LENGTH,SEED CAVITY WIDTH,TOTAL SOLUBLE SOLIDS,CHROMAMETER FLESH COLOR A,CHROMAMETER FLESH COLOR B,CHROMAMETER FLESH COLOR L,CHROMAMETER SKIN COLOR A,CHROMAMETER SKIN COLOR B,CHROMAMETER SKIN COLOR L,FRUIT SHAPE,BLOSSOM END DEFECT,BLOSSOM END SHAPE,FRUIT FLESH COLOR,FRUIT FRECKLING,FRUIT NECK,FRUIT RIDGE,FRUIT WAX,INTERIOR FRUIT GROWTH,PULP AROMA,SEED CAVITY SHAPE,SEED COLOR,SEED TEXTURE,VISUAL SKIN COLOR
HCAR_7,12.3,26,1755.9,5.6,21,6.3,10,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_PRESENT,SMOOTH,YES,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,GREEN/YELLOW
HCAR8,10.6,14.4,756.5,7,9,5.4,11.6,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,SMOOTH,YES,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR9,12.5,13.4,1061.3,7.2,8.3,7.5,10.2,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,YELLOW,SEVERE,NECK_ABSENT,DISTINCT_RIDGES,NA,NO,MILD,ROUND,BLACK,SMOOTH,GREEN/YELLOW
HCAR10,11.3,13.4,766.5,8.6,9,5.3,11,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MODERATE,NECK_ABSENT,DISTINCT_RIDGES,NA,NO,MILD,ROUND,BLACK,SMOOTH,GREEN/YELLOW
HCAR11,8.5,12.85,455.9,11.6,7.9,3.85,13.2,10.07,46.6,71.8,-1.95,60.4,66.7,PYRIFORM(PEAR),NORMAL,ROUNDED_BLOSSOM_END,YELLOW/ORANGE,MODERATE/MILD,NECK_ABSENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR13,14.9,32,2901.8,9,24.7,8.4,8.7,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,PINK,NONE,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,STRONG,ROUND,BLACK,SMOOTH,YELLOW/ORANGE
HCAR16,11.15,25.3,1393.1,9.45,18.95,5.7,8.25,5.93,38.9,67.1,6.31,62.8,65.6,ELONGATED,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MODERATE,NECK_ABSENT,SMOOTH,NO,NO,MILD,ROUND,BLACK,SMOOTH,YELLOW/ORANGE
HCAR17,10.2,24.8,1115.8,5.4,18.8,5,11.8,17.4,31.8,49.9,10.84,54,59.3,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE,NONE,NECK_ABSENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR18,13.3,25.8,2035.3,6.2,19,7.8,10.6,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,NA,SEVERE,NECK_ABSENT,NA,NO,NO,MODERATE,IRREGULAR,BLACK,SMOOTH,GREEN/YELLOW
HCAR19,13.9,21,1946.1,8,13.5,6.5,7.9,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,PINK,NA,NECK_ABSENT,DISTINCT_RIDGES,NA,NO,MILD,ROUND,BLACK,SMOOTH,YELLOW/ORANGE
